component;target;action
assignsubmission_mahara;assessable;uploaded
assignsubmission_mahara;submission;created
assignsubmission_mahara;submission;updated
block_xp;user;leveledup
core;badge;awarded
core;badge;created
core;badge;enabled
core;badge;updated
core;badge;viewed
core;badge_criteria;created
core;badge_listing;viewed
core;capability;assigned
core;capability;unassigned
core;config_log;created
core;contentbank_content;created
core;contentbank_content;updated
core;contentbank_content;viewed
core;course;created
core;course;deleted
core;course;restored
core;course;updated
core;course_backup;created
core;course_category;deleted
core;course_content;deleted
core;course_module;created
core;course_module;deleted
core;course_module;updated
core;course_module_completion;updated
core;course_reset;ended
core;course_reset;started
core;course_section;created
core;course_section;deleted
core;course_section;updated
core;email;failed
core;enrol_instance;created
core;enrol_instance;deleted
core;grade;deleted
core;grouping;created
core;grouping;deleted
core;grouping;updated
core;grouping_group;assigned
core;grouping_group;unassigned
core;notification;sent
core;notification;viewed
core;question;created
core;question;deleted
core;question;moved
core;question;updated
core;question_category;created
core;question_category;deleted
core;question_category;moved
core;question_category;updated
core;question_category;viewed
core;questions;exported
core;questions;imported
core;recent_activity;viewed
core;role;assigned
core;role;unassigned
core;scale;created
core;scale;deleted
core;scale;updated
core;tag;added
core;tag;created
core;tag;deleted
core;tag;removed
core;user;created
core;user;deleted
core;user;graded
core;user;loggedinas
core;user_enrolment;created
core;user_enrolment;deleted
core;user_login;failed
core;webservice_function;called
core;webservice_login;failed
core;webservice_token;created
core;webservice_token;sent
gradeexport_ods;grade;exported
gradeexport_txt;grade;exported
gradeexport_xls;grade;exported
gradereport_grader;grade_report;viewed
gradereport_outcomes;grade_report;viewed
gradereport_overview;grade_report;viewed
gradereport_singleview;grade_report;viewed
gradereport_user;grade_report;viewed
mod_assign;all_submissions;downloaded
mod_assign;batch_set_workflow_state;viewed
mod_assign;course_module_instance_list;viewed
mod_assign;extension;granted
mod_assign;grading_form;viewed
mod_assign;grading_table;viewed
mod_assign;group_override;created
mod_assign;remove_submission_form;viewed
mod_assign;statement;accepted
mod_assign;submission;duplicated
mod_assign;submission;graded
mod_assign;submission;locked
mod_assign;submission;unlocked
mod_assign;user_override;created
mod_assign;workflow_state;updated
mod_attendance;report;viewed
mod_attendance;session;added
mod_attendance;session;deleted
mod_attendance;session;updated
mod_attendance;session_report;viewed
mod_bigbluebuttonbn;meeting;created
mod_bigbluebuttonbn;meeting;ended
mod_bigbluebuttonbn;recording;deleted
mod_bigbluebuttonbn;recording;edited
mod_bigbluebuttonbn;recording;published
mod_bigbluebuttonbn;recording;unpublished
mod_board;add;note
mod_board;delete;column
mod_board;move;note
mod_board;update;column
mod_book;chapter;created
mod_book;chapter;updated
mod_booking;booking;cancelled
mod_booking;bookingoption;booked
mod_booking;bookingoption;created
mod_booking;bookingoption;deleted
mod_booking;bookingoption;updated
mod_booking;course_module;viewed
mod_booking;report;viewed
mod_choice;course_module_instance_list;viewed
mod_choice;report;downloaded
mod_choice;report;viewed
mod_data;comment;created
mod_data;comment;deleted
mod_data;record;created
mod_data;record;deleted
mod_data;record;updated
mod_evoting;evoting;started
mod_evoting;evoting;stopped
mod_evoting;evoting_change;question
mod_folder;all_files;downloaded
mod_folder;course_module;viewed
mod_folder;folder;updated
mod_forum;course_module_instance_list;viewed
mod_forum;readtracking;disabled
mod_forum;user_report;viewed
mod_glossary;entry;approved
mod_glossary;entry;created
mod_glossary;entry;deleted
mod_glossary;entry;updated
mod_groupselect;course_module_instance_list;viewed
mod_hotquestion;add;question
mod_hotquestion;course_module;viewed
mod_hvp;attempt;submitted
mod_hvp;course_module;viewed
mod_imscp;course_module;viewed
mod_lesson;page;updated
mod_lightboxgallery;course_module;viewed
mod_lti;course_module;viewed
mod_onlyoffice;course_module;viewed
mod_publication;course_module;viewed
mod_publication;publication_file;uploaded
mod_quiz;attempt;regraded
mod_quiz;course_module_instance_list;viewed
mod_quiz;edit_page;viewed
mod_quiz;question_manually;graded
mod_quiz;report;viewed
mod_quiz;user_override;created
mod_quiz;user_override;deleted
mod_scheduler;appointment_list;viewed
mod_scheduler;slot;added
mod_scheduler;slot;deleted
mod_scorm;course_module;viewed
mod_scorm;sco;launched
mod_scorm;status;submitted
mod_vpl;course_module_instance_list;viewed
mod_vpl;submission;debugged
mod_vpl;submission;deleted
mod_vpl;submission;edited
mod_vpl;submission;evaluated
mod_vpl;submission;graded
mod_vpl;submission;run
mod_vpl;submission;uploaded
mod_vpl;submission;viewed
mod_vpl;submission_grade;updated
mod_vpl;submission_grade;viewed
mod_vpl;submission_previous_upload;viewed
mod_vpl;vpl_all_submissions;viewed
mod_vpl;vpl_description;viewed
mod_vpl;vpl_execution_keeplist;updated
mod_vpl;vpl_execution_keeplist;viewed
mod_vpl;vpl_execution_options;updated
mod_vpl;vpl_execution_options;viewed
mod_vpl;vpl_similarity_form;viewed
mod_wiki;course_module_instance_list;viewed
mod_wiki;page;created
mod_wiki;page;deleted
mod_wiki;page;updated
mod_wiki;page_locks;deleted
mod_wiki;page_map;viewed
mod_wiki;page_version;deleted
mod_wiki;page_version;restored
mod_workshop;assessment;evaluated
quizaccess_seb;access;prevented
report_log;report;viewed
report_log;user_report;viewed
report_loglive;report;viewed
report_ocforumnotifications;email;sent
report_outline;activity_report;viewed
report_outline;report;viewed
report_participation;report;viewed
report_stats;report;viewed
report_stats;user_report;viewed
tool_capability;report;viewed
tool_recyclebin;category_bin_item;created
